anchor_id,A0,A0_exhaustion,A1,A1_exhaustion,A2,A2_exhaustion,A3,A3_exhaustion
951928,,False,,True,1,False,,False
962024,,True,1,False,1,False,1,False
975191,,False,,True,3,False,,False
933086,1,False,,True,1,False,1,False
971322,1,False,,False,2,False,3,False
904513,,False,,True,,True,,False
956388,,False,,True,1,False,1,False
942662,,True,,False,1,False,,False
929708,1,False,1,False,1,False,5,False
965685,1,False,,False,2,False,,False
952361,,True,,True,,False,5,False
995750,,False,2,False,,False,,False
995398,2,False,1,False,1,False,1,False
991098,,True,,False,,False,,False
986601,,False,,True,2,False,,False
960506,,True,,True,2,False,,False
987502,,True,,True,2,False,,False
941413,,True,2,False,1,False,,False
951756,,True,,False,,False,5,False
980124,5,False,4,False,,False,,False
919818,1,False,3,False,1,False,2,False
955238,1,False,1,False,2,False,1,False
994892,,True,,False,,False,,True
912099,1,False,,False,1,False,,False
927792,1,False,1,False,,False,3,False
943017,4,False,,False,1,False,,False
992487,1,False,,True,1,False,2,False
944870,,False,,False,,False,,False
971357,1,False,,False,4,False,4,False
905422,1,False,,False,1,False,2,False
909448,1,False,,True,1,False,1,False
923030,5,False,2,False,2,False,2,False
956880,1,False,1,False,2,False,1,False
975805,,False,,False,,False,5,False
978539,,False,2,False,1,False,2,False
976747,,False,,True,,False,,False
954289,2,False,1,False,1,False,2,False
929098,,True,4,False,2,False,4,False
960332,,False,,False,2,False,,False
955284,,True,,False,,False,,False
963232,,False,,False,,False,,False
906509,1,False,2,False,1,False,1,False
921639,3,False,3,False,,False,1,False
920444,,False,,False,,False,,False
923831,1,False,4,False,1,False,2,False
963002,,False,,False,,False,,False
927246,,False,,False,3,False,,False
922815,1,False,1,False,1,False,2,False
913208,1,False,1,False,1,False,,False
915409,,True,,False,,False,,False
985319,,False,,True,2,False,,False
961653,1,False,,False,1,False,,False
945586,1,False,,False,2,False,2,False
996423,,False,,False,,False,,False
921866,,False,,False,2,False,,False
925269,1,False,,True,1,False,1,False
946306,2,False,1,False,1,False,2,False
945854,,False,,True,,False,,False
967580,,False,,False,,False,,False
957361,1,False,,True,3,False,,False
964418,1,False,1,False,2,False,2,False
932650,,False,,True,,False,,True
988383,,True,1,False,1,False,,False
930555,1,False,,True,1,False,2,False
975708,2,False,,True,,True,,False
927695,,False,,False,,False,,True
983772,,False,,False,,False,,False
996331,5,False,2,False,1,False,4,False
913757,1,False,1,False,1,False,3,False
908713,4,False,1,False,1,False,,False
926645,,False,,False,,False,,True
997548,1,False,2,False,1,False,4,False
955398,,False,,False,,False,,False
928560,1,False,1,False,1,False,,False
976290,3,False,,True,1,False,1,False
963944,,True,2,False,1,False,1,False
949887,,False,,False,,False,,False
984974,1,False,4,False,1,False,,False
988069,,True,,True,,False,,False
963529,1,False,1,False,1,False,1,False
906601,1,False,1,False,1,False,1,False
910967,1,False,1,False,1,False,,False
998409,1,False,1,False,,False,2,False
950297,1,False,2,False,1,False,1,False
968331,,True,,False,2,False,4,False
992941,,False,5,False,2,False,,False
998474,,True,1,False,1,False,,False
960587,,False,,False,,False,4,False
980848,,True,,True,,True,,False
988648,,True,,False,,False,,False
926437,,False,1,False,1,False,2,False
969196,,True,,False,,False,,False
958737,,False,,False,,False,,False
995698,2,False,1,False,3,False,2,False
988042,5,False,,False,1,False,,False
927180,1,False,1,False,2,False,3,False
918224,1,False,4,False,1,False,2,False
925852,,True,3,False,2,False,1,False
964027,,True,,False,,False,,False
936380,3,False,1,False,1,False,1,False
